Date,Distance
2018-09-13,469330
2018-09-14,584520
2018-09-15,1417060
2018-09-16,766110
2018-09-17,645950
2018-09-18,534250
2018-09-19,421160
2018-09-20,589430
2018-09-21,529960
2018-09-22,1733930
2018-09-23,23030
2018-09-24,477410
2018-09-25,453680
2018-09-26,278510
2018-09-27,433570
2018-09-28,104340
2018-09-29,1002670
2018-09-30,608010
2018-10-01,555960
2018-10-02,346970
2018-10-03,393040
2018-10-04,456250
2018-10-05,472240
2018-10-06,1194810
2018-10-07,523640
2018-10-08,542630
2018-10-09,605660
2018-10-10,419760
2018-10-11,522760
2018-10-12,336610
2018-10-13,940290
2018-10-14,1082920
2018-10-15,294810
2018-10-16,405860
2018-10-17,384610
2018-10-18,102410
2018-10-19,443830
2018-10-20,638450
2018-10-21,1224760
2018-10-22,428290
2018-10-23,446330
2018-10-24,266920
2018-10-25,556020
2018-10-26,470170
2018-10-27,168880
2018-10-28,1105890
2018-10-29,323140
2018-10-30,314890
2018-10-31,772710
2018-11-01,839770
2018-11-02,407420
2018-11-03,925470
2018-11-04,160820
2018-11-05,478410
2018-11-06,525160
2018-11-07,386180
2018-11-08,430800
2018-11-09,390470
2018-11-10,1014090
2018-11-11,1389640
2018-11-12,425450
2018-11-13,304600
2018-11-14,320340
2018-11-15,458790
2018-11-16,396520
2018-11-17,344400
2018-11-18,927270
2018-11-19,374990
2018-11-20,438500
2018-11-21,491590
2018-11-22,646700
2018-11-23,487330
2018-11-24,496870
2018-11-25,1192960
2018-11-26,444050
2018-11-27,546210
2018-11-28,378810
2018-11-29,257700
2018-11-30,472820
2018-12-01,361960
2018-12-02,989590
2018-12-03,264770
2018-12-04,384470
2018-12-05,349510
2018-12-06,501900
2018-12-07,373630
2018-12-08,177870
2018-12-09,408940
2018-12-10,425350
2018-12-11,274560
2018-12-12,429050
2018-12-13,519830
2018-12-14,347450
2018-12-15,184760
2018-12-16,881740
2018-12-17,633200
2018-12-18,535550
2018-12-19,424190
2018-12-20,540790
2018-12-21,453850
2018-12-22,538840
2018-12-23,44670
2018-12-24,1052080
2018-12-25,488330
2018-12-26,12110
2018-12-27,511030
2018-12-28,409020
2018-12-29,972490
2018-12-30,563930
2018-12-31,1001770
2019-01-01,909200
2019-01-02,371370
2019-01-03,421610
2019-01-04,471160
2019-01-05,234820
2019-01-06,1196560
2019-01-07,455480
2019-01-08,370850
2019-01-09,425930
2019-01-10,329010
2019-01-11,421280
2019-01-12,338620
2019-01-13,221280
2019-01-14,386360
2019-01-15,249550
2019-01-16,354990
2019-01-17,433320
2019-01-18,170250
2019-01-19,256130
2019-01-20,171820
2019-01-21,400020
2019-01-22,348060
2019-01-23,379950
2019-01-24,486210
2019-01-25,352460
2019-01-26,839290
2019-01-27,44110
2019-01-28,415390
2019-01-29,362080
2019-01-30,371680
2019-01-31,473700
2019-02-01,323640
2019-02-02,959090
2019-02-03,204600
2019-02-04,414300
2019-02-05,374750
2019-02-06,380180
2019-02-07,406530
2019-02-08,352840
2019-02-09,58790
2019-02-10,382180
2019-02-11,528730
2019-02-12,155090
2019-02-13,392920
2019-02-14,300260
2019-02-15,302710
2019-02-16,50560
2019-02-17,837150
2019-02-18,364210
2019-02-19,339030
2019-02-20,318690
2019-02-21,411810
2019-02-22,362320
2019-02-23,463960
2019-02-24,563600
2019-02-25,478800
2019-02-26,312550
2019-03-10,27250
2019-03-11,428250
2019-03-12,334080
2019-03-13,360650
2019-03-14,429130
2019-03-15,301920
2019-03-16,294680
2019-03-17,937120
2019-03-18,411380
2019-03-19,380500
2019-03-20,304030
2019-03-21,344070
2019-03-22,129270
2019-03-23,304850
2019-03-24,1538390
2019-03-25,420080
2019-03-26,168310
2019-03-27,484190
2019-03-28,319010
2019-03-29,423380
2019-03-30,912000
2019-03-31,367090
2019-04-01,404420
2019-04-02,331630
2019-04-03,392040
2019-04-04,442750
2019-04-05,379610
2019-04-06,1086630
2019-04-07,745200
2019-04-08,354390
2019-04-09,438510
2019-04-10,349410
2019-04-11,350630
2019-04-12,63250
2019-04-13,949160
2019-04-14,357980
2019-04-15,386120
2019-04-16,397250
2019-04-17,355240
2019-04-18,334340
2019-04-19,792820
2019-04-20,295500
2019-04-21,887880
2019-04-22,286930
2019-04-23,395830
2019-04-24,332180
2019-04-25,370270
2019-04-26,515190
2019-04-27,1158590
2019-04-28,296770
2019-04-29,434280
2019-04-30,301630
2019-05-01,355630
2019-05-02,347770
2019-05-03,273300
2019-05-04,1345250
2019-05-05,868930
2019-05-06,387510
2019-05-07,574520
2019-05-08,577560
2019-05-09,470530
2019-05-10,610330
2019-05-11,427050
2019-05-12,114060
2019-05-13,412670
2019-05-14,90170
2019-05-15,407990
2019-05-16,520320
2019-05-17,331200
2019-05-18,958720
2019-05-19,904800
2019-05-20,411080
2019-05-21,111210
2019-05-22,399970
2019-06-13,55780
2019-06-14,662390
2019-06-15,1126800
2019-06-16,822430
2019-06-17,315130
2019-06-18,350880
2019-06-19,619470
2019-06-20,804150
2019-06-21,551140
2019-06-22,857430
2019-06-23,883250
2019-06-24,796000
2019-06-25,387980
2019-06-26,499570
2019-06-27,383520
2019-06-28,130980
2019-06-29,735400
2019-06-30,1168060
2019-07-01,392090
2019-07-02,373320
2019-07-03,399130
2019-07-04,61430
2019-07-05,662320
2019-07-06,690360
2019-07-07,1244390
2019-07-08,366970
2019-07-09,340930
2019-07-10,389620
2019-07-11,120840
2019-07-12,322220
2019-07-13,1190300
2019-07-14,571720
2019-07-15,381180
2019-07-16,117260
2019-07-17,550240
2019-07-18,102290
2019-07-19,487810
2019-07-20,638810
2019-07-21,161340
2019-07-22,467850
2019-07-23,382300
2019-07-24,426760
2019-07-25,855790
2019-07-26,173370
2019-07-27,578570
2019-07-28,640650
2019-07-29,708430
2019-07-30,166820
2019-07-31,349930
2019-08-01,537920
2019-08-02,513200
2019-08-03,535420
2019-08-04,1548510
2019-08-05,321400
2019-08-06,660770
2019-08-07,1965440
2019-08-08,911650
2019-08-09,984360
2019-08-10,255450
2019-08-11,357930
2019-08-12,474120
2019-08-13,330150
2019-08-14,401180
2019-08-15,328200
2019-08-16,416280
2019-08-17,285740
2019-08-18,1011290
2019-08-19,332800
2019-08-20,557240
2019-08-21,327890
2019-08-22,639650
2019-08-23,284970
2019-08-24,1120980
2019-08-25,1379580
2019-08-26,543650
2019-08-27,674600
2019-08-28,320520
2019-08-29,319680
2019-08-30,171060
2019-08-31,1229040
2019-09-01,613710
2019-09-02,1053570
2019-09-03,178720
2019-09-04,341920
2019-09-05,79160
