Date,SedentaryMinutes
2018-09-12,797
2018-09-13,846
2018-09-14,825
2018-09-15,946
2018-09-16,683
2018-09-17,817
2018-09-18,897
2018-09-19,889
2018-09-20,877
2018-09-21,890
2018-09-22,717
2018-09-23,696
2018-09-24,796
2018-09-25,789
2018-09-26,899
2018-09-27,823
2018-09-28,867
2018-09-29,731
2018-09-30,915
2018-10-01,716
2018-10-02,914
2018-10-03,796
2018-10-04,393
2018-10-05,1440
2018-10-06,1440
2018-10-07,1440
2018-10-08,1440
2018-10-09,1440
2018-10-10,1440
2018-10-11,1440
2018-10-12,844
2018-10-13,881
2018-10-14,740
2018-10-15,753
2018-10-16,875
2018-10-17,856
2018-10-18,803
2018-10-19,1440
2018-10-20,1440
2018-10-21,1440
2018-10-22,1440
2018-10-23,1440
2018-10-24,1440
2018-10-25,1440
2018-10-26,1440
2018-10-27,1440
2018-10-28,1440
2018-10-29,1440
2018-10-30,1440
2018-10-31,1380
2018-11-01,1020
2018-11-02,1440
2018-11-03,1440
2018-11-04,1440
2018-11-05,1440
2018-11-06,1440
2018-11-07,1440
2018-11-08,1440
2018-11-09,1372
2018-11-10,813
2018-11-11,735
2018-11-12,879
2018-11-13,837
2018-11-14,809
2018-11-15,830
2018-11-16,866
2018-11-17,872
2018-11-18,732
2018-11-19,742
2018-11-20,1016
2018-11-21,836
2018-11-22,839
2018-11-23,798
2018-11-24,806
2018-11-25,825
2018-11-26,783
2018-11-27,841
2018-11-28,821
2018-11-29,851
2018-11-30,902
2018-12-01,706
2018-12-02,818
2018-12-03,892
2018-12-04,845
2018-12-05,915
2018-12-06,862
2018-12-07,784
2018-12-08,898
2018-12-09,862
2018-12-10,932
2018-12-11,854
2018-12-12,901
2018-12-13,919
2018-12-14,916
2018-12-15,810
2018-12-16,755
2018-12-17,888
2018-12-18,826
2018-12-19,904
2018-12-20,854
2018-12-21,836
2018-12-22,807
2018-12-23,773
2018-12-24,850
2018-12-25,858
2018-12-27,898
2018-12-28,860
2018-12-29,719
2018-12-30,727
2018-12-31,908
2019-01-01,817
2019-01-02,899
2019-01-03,826
2019-01-04,869
2019-01-05,807
2019-01-06,817
2019-01-07,876
2019-01-08,948
2019-01-09,840
2019-01-10,854
2019-01-11,841
2019-01-12,860
2019-01-13,816
2019-01-14,824
2019-01-15,833
2019-01-16,807
2019-01-17,738
2019-01-18,711
2019-01-19,874
2019-01-20,847
2019-01-21,897
2019-01-22,953
2019-01-23,809
2019-01-24,890
2019-01-25,825
2019-01-26,924
2019-01-27,852
2019-01-28,898
2019-01-29,827
2019-01-30,854
2019-01-31,863
2019-02-01,745
2019-02-02,872
2019-02-03,847
2019-02-04,863
2019-02-05,852
2019-02-06,891
2019-02-07,834
2019-02-08,883
2019-02-10,860
2019-02-11,1227
2019-02-12,856
2019-02-13,924
2019-02-14,849
2019-02-15,870
2019-02-16,1357
2019-02-18,740
2019-02-19,841
2019-02-20,951
2019-02-21,1440
2019-02-22,1440
2019-02-24,1440
2019-02-25,1440
2019-02-26,1440
2019-03-10,814
2019-03-11,871
2019-03-12,869
2019-03-13,833
2019-03-14,917
2019-03-15,889
2019-03-16,900
2019-03-17,783
2019-03-18,727
2019-03-19,866
2019-03-20,955
2019-03-21,802
2019-03-22,906
2019-03-23,820
2019-03-24,1235
2019-03-25,744
2019-03-26,859
2019-03-27,857
2019-03-28,851
2019-03-29,865
2019-03-30,914
2019-03-31,1209
2019-04-01,747
2019-04-02,825
2019-04-03,791
2019-04-04,922
2019-04-05,860
2019-04-07,718
2019-04-08,827
2019-04-09,870
2019-04-10,832
2019-04-11,935
2019-04-12,754
2019-04-13,950
2019-04-14,798
2019-04-15,769
2019-04-16,888
2019-04-17,836
2019-04-18,872
2019-04-19,781
2019-04-20,873
2019-04-21,945
2019-04-22,783
2019-04-23,813
2019-04-24,840
2019-04-25,915
2019-04-26,842
2019-04-27,834
2019-04-28,807
2019-04-29,799
2019-04-30,651
2019-05-01,844
2019-05-02,659
2019-05-03,854
2019-05-04,766
2019-05-05,897
2019-05-06,868
2019-05-07,846
2019-05-08,883
2019-05-09,844
2019-05-10,834
2019-05-11,785
2019-05-12,809
2019-05-13,775
2019-05-14,774
2019-05-15,893
2019-05-16,817
2019-05-17,802
2019-05-18,929
2019-05-19,811
2019-05-20,871
2019-05-21,820
2019-05-22,756
2019-06-13,1440
2019-06-14,1440
2019-06-15,1440
2019-06-16,1440
2019-06-17,1440
2019-06-18,1440
2019-06-19,1440
2019-06-20,1440
2019-06-21,1440
2019-06-22,1440
2019-06-23,1440
2019-06-24,1440
2019-06-25,1440
2019-06-26,1440
2019-06-27,1440
2019-06-28,1440
2019-06-29,1440
2019-06-30,1440
2019-07-01,1440
2019-07-02,1440
2019-07-03,1426
2019-07-04,803
2019-07-05,809
2019-07-06,758
2019-07-07,746
2019-07-08,939
2019-07-09,891
2019-07-10,855
2019-07-11,797
2019-07-12,677
2019-07-13,895
2019-07-14,847
2019-07-15,945
2019-07-16,800
2019-07-17,971
2019-07-18,893
2019-07-19,789
2019-07-20,897
2019-07-21,861
2019-07-22,802
2019-07-23,844
2019-07-24,842
2019-07-25,866
2019-07-26,879
2019-07-27,837
2019-07-28,833
2019-07-29,952
2019-07-30,843
2019-07-31,871
2019-08-01,808
2019-08-02,797
2019-08-03,894
2019-08-04,959
2019-08-05,871
2019-08-06,830
2019-08-07,858
2019-08-08,805
2019-08-09,715
2019-08-10,898
2019-08-11,837
2019-08-12,740
2019-08-13,729
2019-08-14,729
2019-08-15,771
2019-08-16,868
2019-08-17,841
2019-08-18,864
2019-08-19,845
2019-08-20,975
2019-08-21,916
2019-08-22,589
2019-08-23,816
2019-08-24,849
2019-08-25,911
2019-08-26,863
2019-08-27,1047
2019-08-28,668
2019-08-29,736
2019-08-30,752
2019-08-31,871
2019-09-01,899
2019-09-02,872
2019-09-03,873
2019-09-04,898
2019-09-05,721
,900
,914
,1329
,1440
,1440
,1440
,1440
,1440
,1440
,1406
,879
,899
,875
,881
,1336
,945
,839
,868
,900
,858
,889
,791
,814
,801
,821
,887
,851
,848
,681
,771
,922
,818
,838
,1440
,1440
,1440
,1440
,749
,819
,873
,937
,851
,918
,892
,838
,861
,851
,876
,748
,898
,846
,901
,863
,903
,885
,742
,820
,839
,877
,1279
,923
,886
,1338
,862
,832
,890
,839
,893
