Date,Steps
2018-09-13,6961
2018-09-14,8501
2018-09-15,15928
2018-09-16,11090
2018-09-17,7409
2018-09-18,7642
2018-09-19,6137
2018-09-20,9742
2018-09-21,7384
2018-09-22,19411
2018-09-23,437
2018-09-24,7094
2018-09-25,6743
2018-09-26,4069
2018-09-27,6300
2018-09-28,1981
2018-09-29,10550
2018-09-30,8468
2018-10-01,8075
2018-10-02,5143
2018-10-03,5692
2018-10-04,6628
2018-10-05,6537
2018-10-06,12287
2018-10-07,7078
2018-10-08,7691
2018-10-09,9153
2018-10-10,5890
2018-10-11,7617
2018-10-12,4807
2018-10-13,9453
2018-10-14,14815
2018-10-15,4262
2018-10-16,5715
2018-10-17,5384
2018-10-18,1621
2018-10-19,6469
2018-10-20,8953
2018-10-21,16525
2018-10-22,6357
2018-10-23,6408
2018-10-24,3804
2018-10-25,8057
2018-10-26,6615
2018-10-27,2409
2018-10-28,11848
2018-10-29,4701
2018-10-30,4380
2018-10-31,10764
2018-11-01,11504
2018-11-02,6001
2018-11-03,11353
2018-11-04,2512
2018-11-05,6900
2018-11-06,7560
2018-11-07,5500
2018-11-08,6165
2018-11-09,5574
2018-11-10,11694
2018-11-11,15396
2018-11-12,6204
2018-11-13,4380
2018-11-14,4770
2018-11-15,6653
2018-11-16,5530
2018-11-17,4769
2018-11-18,8907
2018-11-19,5564
2018-11-20,6123
2018-11-21,6844
2018-11-22,7316
2018-11-23,6844
2018-11-24,6856
2018-11-25,16250
2018-11-26,6140
2018-11-27,7909
2018-11-28,5525
2018-11-29,3685
2018-11-30,6954
2018-12-01,4994
2018-12-02,10608
2018-12-03,3769
2018-12-04,5464
2018-12-05,4970
2018-12-06,7160
2018-12-07,5642
2018-12-08,2714
2018-12-09,6045
2018-12-10,6145
2018-12-11,3932
2018-12-12,6206
2018-12-13,7406
2018-12-14,5042
2018-12-15,2690
2018-12-16,9596
2018-12-17,8757
2018-12-18,7023
2018-12-19,5891
2018-12-20,7296
2018-12-21,6218
2018-12-22,7110
2018-12-23,591
2018-12-24,11112
2018-12-25,6445
2018-12-26,160
2018-12-27,6979
2018-12-28,5658
2018-12-29,13283
2018-12-30,7519
2018-12-31,11340
2019-01-01,11992
2019-01-02,5093
2019-01-03,5946
2019-01-04,6347
2019-01-05,3099
2019-01-06,12695
2019-01-07,6165
2019-01-08,4852
2019-01-09,5751
2019-01-10,4341
2019-01-11,5666
2019-01-12,4468
2019-01-13,2921
2019-01-14,5387
2019-01-15,3314
2019-01-16,4962
2019-01-17,5929
2019-01-18,2222
2019-01-19,3380
2019-01-20,2269
2019-01-21,5278
2019-01-22,4936
2019-01-23,5278
2019-01-24,6629
2019-01-25,4655
2019-01-26,9282
2019-01-27,584
2019-01-28,5832
2019-01-29,4778
2019-01-30,5216
2019-01-31,5698
2019-02-01,4470
2019-02-02,12571
2019-02-03,2700
2019-02-04,5817
2019-02-05,4946
2019-02-06,5255
2019-02-07,4466
2019-02-08,4606
2019-02-09,778
2019-02-10,5000
2019-02-11,6491
2019-02-12,2051
2019-02-13,5383
2019-02-14,3964
2019-02-15,3997
2019-02-16,669
2019-02-17,10872
2019-02-18,5180
2019-02-19,4441
2019-02-20,4283
2019-02-21,5435
2019-02-22,4722
2019-02-23,6121
2019-02-24,7858
2019-02-25,6516
2019-02-26,4139
2019-03-10,360
2019-03-11,5890
2019-03-12,4408
2019-03-13,5071
2019-03-14,5987
2019-03-15,3924
2019-03-16,3888
2019-03-17,10533
2019-03-18,5827
2019-03-19,5369
2019-03-20,4066
2019-03-21,4725
2019-03-22,1709
2019-03-23,3977
2019-03-24,17782
2019-03-25,6001
2019-03-26,2225
2019-03-27,6628
2019-03-28,4209
2019-03-29,5587
2019-03-30,12030
2019-03-31,5578
2019-04-01,5528
2019-04-02,4376
2019-04-03,5451
2019-04-04,5841
2019-04-05,5008
2019-04-06,14647
2019-04-07,9732
2019-04-08,4981
2019-04-09,6094
2019-04-10,4610
2019-04-11,4818
2019-04-12,837
2019-04-13,12805
2019-04-14,4728
2019-04-15,5339
2019-04-16,5488
2019-04-17,4688
2019-04-18,4370
2019-04-19,8115
2019-04-20,3901
2019-04-21,9076
2019-04-22,3786
2019-04-23,5491
2019-04-24,4384
2019-04-25,5134
2019-04-26,6964
2019-04-27,13253
2019-04-28,3917
2019-04-29,5389
2019-04-30,3984
2019-05-01,4692
2019-05-02,4810
2019-05-03,3607
2019-05-04,17741
2019-05-05,11477
2019-05-06,6269
2019-05-07,7581
2019-05-08,7914
2019-05-09,6318
2019-05-10,8050
2019-05-11,6307
2019-05-12,1509
2019-05-13,5405
2019-05-14,1193
2019-05-15,5738
2019-05-16,6991
2019-05-17,4370
2019-05-18,12647
2019-05-19,9956
2019-05-20,5574
2019-05-21,1471
2019-05-22,5569
2019-06-13,738
2019-06-14,8961
2019-06-15,14961
2019-06-16,10851
2019-06-17,4160
2019-06-18,4842
2019-06-19,8174
2019-06-20,10699
2019-06-21,7275
2019-06-22,11282
2019-06-23,9309
2019-06-24,10500
2019-06-25,5464
2019-06-26,6780
2019-06-27,5060
2019-06-28,1732
2019-06-29,9709
2019-06-30,15406
2019-07-01,5499
2019-07-02,4898
2019-07-03,5575
2019-07-04,813
2019-07-05,8737
2019-07-06,9642
2019-07-07,14086
2019-07-08,5087
2019-07-09,4503
2019-07-10,5143
2019-07-11,1599
2019-07-12,4418
2019-07-13,15699
2019-07-14,7548
2019-07-15,5368
2019-07-16,1551
2019-07-17,7495
2019-07-18,1353
2019-07-19,6705
2019-07-20,8683
2019-07-21,2133
2019-07-22,6323
2019-07-23,5046
2019-07-24,5819
2019-07-25,9503
2019-07-26,2289
2019-07-27,7634
2019-07-28,9187
2019-07-29,9727
2019-07-30,2204
2019-07-31,4619
2019-08-01,7449
2019-08-02,6890
2019-08-03,7065
2019-08-04,20425
2019-08-05,4423
2019-08-06,8718
2019-08-07,23644
2019-08-08,12057
2019-08-09,12991
2019-08-10,3374
2019-08-11,4983
2019-08-12,6256
2019-08-13,4483
2019-08-14,5509
2019-08-15,4332
2019-08-16,5494
2019-08-17,3773
2019-08-18,12460
2019-08-19,4393
2019-08-20,7519
2019-08-21,4530
2019-08-22,7606
2019-08-23,3762
2019-08-24,14740
2019-08-25,16176
2019-08-26,7402
2019-08-27,7876
2019-08-28,4231
2019-08-29,4503
2019-08-30,2261
2019-08-31,15925
2019-09-01,6165
2019-09-02,11808
2019-09-03,2363
2019-09-04,5172
2019-09-05,1047
